epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5769.87,0.36149,0.28977,0.84484,0.99847,1,0.995,0.95563,0.34237,0.24434,0.85576,0.000812,0.000812,0.000812
62,5864.34,0.35352,0.29106,0.82785,0.99878,1,0.995,0.93759,0.37409,0.25383,0.85337,0.0007922,0.0007922,0.0007922
63,5959.09,0.37446,0.29068,0.8492,0.99887,1,0.995,0.94968,0.37453,0.26226,0.85853,0.0007724,0.0007724,0.0007724
64,6056.39,0.38247,0.30014,0.84571,0.99885,1,0.995,0.9583,0.33668,0.24584,0.84281,0.0007526,0.0007526,0.0007526
65,6150.04,0.37234,0.30661,0.85619,0.99878,1,0.995,0.97382,0.2916,0.2257,0.84033,0.0007328,0.0007328,0.0007328
66,6245.06,0.34389,0.27951,0.83708,0.99899,1,0.995,0.9697,0.31621,0.23331,0.84919,0.000713,0.000713,0.000713
67,6339.52,0.36139,0.27834,0.83906,0.99841,1,0.995,0.95637,0.34949,0.24869,0.85632,0.0006932,0.0006932,0.0006932
68,6433.84,0.35745,0.28391,0.84585,0.99877,1,0.995,0.95875,0.33503,0.23852,0.86311,0.0006734,0.0006734,0.0006734
69,6529.23,0.3488,0.28658,0.84467,0.99896,1,0.995,0.97125,0.30467,0.2254,0.84592,0.0006536,0.0006536,0.0006536
70,6623.74,0.34396,0.28068,0.8382,0.99897,1,0.995,0.97517,0.30756,0.23638,0.84392,0.0006338,0.0006338,0.0006338
71,6718.79,0.33581,0.27572,0.83503,0.99893,1,0.995,0.9761,0.30947,0.22721,0.84297,0.000614,0.000614,0.000614
72,6813.01,0.32119,0.26587,0.8358,0.99891,1,0.995,0.97163,0.30484,0.21947,0.83779,0.0005942,0.0005942,0.0005942
73,6908.64,0.31731,0.26193,0.83521,0.99896,1,0.995,0.96379,0.30314,0.22599,0.8374,0.0005744,0.0005744,0.0005744
74,7003.02,0.33392,0.27389,0.84353,0.999,1,0.995,0.96929,0.30746,0.22758,0.83205,0.0005546,0.0005546,0.0005546
75,7097.26,0.33823,0.26783,0.84823,0.99899,1,0.995,0.9676,0.29652,0.21169,0.82931,0.0005348,0.0005348,0.0005348
76,7192.64,0.30494,0.25253,0.82583,0.99909,1,0.995,0.96689,0.30987,0.22171,0.82638,0.000515,0.000515,0.000515
77,7286.85,0.32704,0.27457,0.8384,0.99899,1,0.995,0.96683,0.28259,0.21927,0.82038,0.0004952,0.0004952,0.0004952
78,7381.96,0.31389,0.26028,0.82671,0.999,1,0.995,0.96631,0.29513,0.21324,0.81793,0.0004754,0.0004754,0.0004754
79,7478.12,0.31784,0.25253,0.84161,0.99898,1,0.995,0.97336,0.27768,0.20691,0.81725,0.0004556,0.0004556,0.0004556
80,7572.37,0.31291,0.25391,0.83752,0.99895,1,0.995,0.97202,0.27859,0.20815,0.817,0.0004358,0.0004358,0.0004358
81,7668.36,0.32289,0.2574,0.8299,0.99901,1,0.995,0.96914,0.27241,0.20543,0.82415,0.000416,0.000416,0.000416
82,7765.57,0.3202,0.25814,0.82885,0.999,1,0.995,0.97489,0.28285,0.20681,0.83593,0.0003962,0.0003962,0.0003962
83,7860.12,0.29937,0.2475,0.83453,0.999,1,0.995,0.96834,0.29156,0.19886,0.84177,0.0003764,0.0003764,0.0003764
84,7955.68,0.29764,0.24149,0.83674,0.999,1,0.995,0.96356,0.29809,0.20616,0.83591,0.0003566,0.0003566,0.0003566
85,8051.9,0.3029,0.24325,0.82928,0.99898,1,0.995,0.96784,0.27324,0.20835,0.81742,0.0003368,0.0003368,0.0003368
86,8147.92,0.3044,0.24647,0.83448,0.99897,1,0.995,0.969,0.27371,0.20529,0.82073,0.000317,0.000317,0.000317
87,8243.12,0.28781,0.236,0.83799,0.99891,1,0.995,0.96962,0.29124,0.20218,0.83806,0.0002972,0.0002972,0.0002972
88,8339.28,0.30039,0.24477,0.83697,0.99898,1,0.995,0.9695,0.29937,0.21051,0.83819,0.0002774,0.0002774,0.0002774
89,8436.09,0.28142,0.23537,0.83724,0.99899,1,0.995,0.97763,0.26233,0.19426,0.83601,0.0002576,0.0002576,0.0002576
90,8532.74,0.2796,0.24605,0.81887,0.99901,1,0.995,0.97182,0.29941,0.20466,0.83949,0.0002378,0.0002378,0.0002378
91,8629.17,0.22307,0.19174,0.78381,0.99898,1,0.995,0.96593,0.28029,0.20047,0.8416,0.000218,0.000218,0.000218
92,8724.43,0.22649,0.19019,0.7849,0.99898,1,0.995,0.96212,0.26931,0.18814,0.84436,0.0001982,0.0001982,0.0001982
93,8818.38,0.22416,0.19187,0.78574,0.99899,1,0.995,0.97747,0.26399,0.18095,0.84445,0.0001784,0.0001784,0.0001784
94,8913.63,0.22341,0.18594,0.78078,0.99898,1,0.995,0.97679,0.27205,0.18367,0.84985,0.0001586,0.0001586,0.0001586
95,9009.15,0.21729,0.1834,0.78299,0.99897,1,0.995,0.97099,0.27797,0.1901,0.85057,0.0001388,0.0001388,0.0001388
96,9104.09,0.21999,0.18345,0.78105,0.99899,1,0.995,0.97445,0.25475,0.18149,0.84827,0.000119,0.000119,0.000119
97,9197.87,0.21569,0.18247,0.78654,0.99899,1,0.995,0.97793,0.27038,0.1809,0.84909,9.92e-05,9.92e-05,9.92e-05
98,9292.08,0.21199,0.18294,0.766,0.99899,1,0.995,0.97627,0.26386,0.17593,0.84789,7.94e-05,7.94e-05,7.94e-05
99,9386.73,0.20305,0.17556,0.78525,0.99902,1,0.995,0.97174,0.26188,0.16931,0.84616,5.96e-05,5.96e-05,5.96e-05
100,9481.22,0.20163,0.17641,0.77694,0.999,1,0.995,0.97281,0.26312,0.166,0.84557,3.98e-05,3.98e-05,3.98e-05
